case_id	case_num	case_dir	command
0016	16	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0016	python -c 'import time; print("case 16 start", flush=True); time.sleep(2); print("case 16 done", flush=True)'
0017	17	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0017	python -c 'import time; print("case 17 start", flush=True); time.sleep(2); print("case 17 done", flush=True)'
0018	18	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0018	python -c 'import time; print("case 18 start", flush=True); time.sleep(2); print("case 18 done", flush=True)'
0019	19	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0019	python -c 'import time; print("case 19 start", flush=True); time.sleep(2); print("case 19 done", flush=True)'
0020	20	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0020	python -c 'import time; print("case 20 start", flush=True); time.sleep(2); print("case 20 done", flush=True)'
0021	21	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0021	python -c 'import time; print("case 21 start", flush=True); time.sleep(2); print("case 21 done", flush=True)'
0022	22	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0022	python -c 'import time; print("case 22 start", flush=True); time.sleep(2); print("case 22 done", flush=True)'
0023	23	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0023	python -c 'import time; print("case 23 start", flush=True); time.sleep(2); print("case 23 done", flush=True)'
0024	24	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0024	python -c 'import time; print("case 24 start", flush=True); time.sleep(2); print("case 24 done", flush=True)'
0025	25	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0025	python -c 'import time; print("case 25 start", flush=True); time.sleep(2); print("case 25 done", flush=True)'
0026	26	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0026	python -c 'import time; print("case 26 start", flush=True); time.sleep(2); print("case 26 done", flush=True)'
0027	27	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0027	python -c 'import time; print("case 27 start", flush=True); time.sleep(2); print("case 27 done", flush=True)'
0028	28	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0028	python -c 'import time; print("case 28 start", flush=True); time.sleep(2); print("case 28 done", flush=True)'
0029	29	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0029	python -c 'import time; print("case 29 start", flush=True); time.sleep(2); print("case 29 done", flush=True)'
0030	30	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0030	python -c 'import time; print("case 30 start", flush=True); time.sleep(2); print("case 30 done", flush=True)'
0031	31	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0031	python -c 'import time; print("case 31 start", flush=True); time.sleep(2); print("case 31 done", flush=True)'
0032	32	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0032	python -c 'import time; print("case 32 start", flush=True); time.sleep(2); print("case 32 done", flush=True)'
0033	33	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0033	python -c 'import time; print("case 33 start", flush=True); time.sleep(2); print("case 33 done", flush=True)'
0034	34	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0034	python -c 'import time; print("case 34 start", flush=True); time.sleep(2); print("case 34 done", flush=True)'
0035	35	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0035	python -c 'import time; print("case 35 start", flush=True); time.sleep(2); print("case 35 done", flush=True)'
0036	36	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0036	python -c 'import time; print("case 36 start", flush=True); time.sleep(2); print("case 36 done", flush=True)'
0037	37	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0037	python -c 'import time; print("case 37 start", flush=True); time.sleep(2); print("case 37 done", flush=True)'
0038	38	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0038	python -c 'import time; print("case 38 start", flush=True); time.sleep(2); print("case 38 done", flush=True)'
0039	39	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0039	python -c 'import time; print("case 39 start", flush=True); time.sleep(2); print("case 39 done", flush=True)'
0040	40	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0040	python -c 'import time; print("case 40 start", flush=True); time.sleep(2); print("case 40 done", flush=True)'
0041	41	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0041	python -c 'import time; print("case 41 start", flush=True); time.sleep(2); print("case 41 done", flush=True)'
0042	42	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0042	python -c 'import time; print("case 42 start", flush=True); time.sleep(2); print("case 42 done", flush=True)'
0043	43	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0043	python -c 'import time; print("case 43 start", flush=True); time.sleep(2); print("case 43 done", flush=True)'
0044	44	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0044	python -c 'import time; print("case 44 start", flush=True); time.sleep(2); print("case 44 done", flush=True)'
0045	45	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0045	python -c 'import time; print("case 45 start", flush=True); time.sleep(2); print("case 45 done", flush=True)'
0046	46	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0046	python -c 'import time; print("case 46 start", flush=True); time.sleep(2); print("case 46 done", flush=True)'
0047	47	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0047	python -c 'import time; print("case 47 start", flush=True); time.sleep(2); print("case 47 done", flush=True)'
0048	48	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0048	python -c 'import time; print("case 48 start", flush=True); time.sleep(2); print("case 48 done", flush=True)'
0049	49	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0049	python -c 'import time; print("case 49 start", flush=True); time.sleep(2); print("case 49 done", flush=True)'
0050	50	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0050	python -c 'import time; print("case 50 start", flush=True); time.sleep(2); print("case 50 done", flush=True)'
0051	51	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0051	python -c 'import time; print("case 51 start", flush=True); time.sleep(2); print("case 51 done", flush=True)'
0052	52	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0052	python -c 'import time; print("case 52 start", flush=True); time.sleep(2); print("case 52 done", flush=True)'
0053	53	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0053	python -c 'import time; print("case 53 start", flush=True); time.sleep(2); print("case 53 done", flush=True)'
0054	54	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0054	python -c 'import time; print("case 54 start", flush=True); time.sleep(2); print("case 54 done", flush=True)'
0055	55	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0055	python -c 'import time; print("case 55 start", flush=True); time.sleep(2); print("case 55 done", flush=True)'
0056	56	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0056	python -c 'import time; print("case 56 start", flush=True); time.sleep(2); print("case 56 done", flush=True)'
0057	57	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0057	python -c 'import time; print("case 57 start", flush=True); time.sleep(2); print("case 57 done", flush=True)'
0058	58	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0058	python -c 'import time; print("case 58 start", flush=True); time.sleep(2); print("case 58 done", flush=True)'
0059	59	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0059	python -c 'import time; print("case 59 start", flush=True); time.sleep(2); print("case 59 done", flush=True)'
0060	60	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0060	python -c 'import time; print("case 60 start", flush=True); time.sleep(2); print("case 60 done", flush=True)'
0061	61	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0061	python -c 'import time; print("case 61 start", flush=True); time.sleep(2); print("case 61 done", flush=True)'
0062	62	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0062	python -c 'import time; print("case 62 start", flush=True); time.sleep(2); print("case 62 done", flush=True)'
0063	63	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0063	python -c 'import time; print("case 63 start", flush=True); time.sleep(2); print("case 63 done", flush=True)'
